Title,Score,Vote,Ranked,Popularity,Members,Favorite,Volumes,Chapters,Status,Published,Genres,Themes,Demographics,Serialization,Author,ISBN
Berserk,9.47,334154,1,1,"670,559","123,574",Unknown,Unknown,Publishing,"Aug  25, 1989 to ?","['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Horror', 'Supernatural']","['Gore', 'Military', 'Mythology', 'Psychological']",['Seinen'],Young Animal,"Miura, Kentarou (Story & Art), Studio Gaga (Art)",9781593070205
JoJo no Kimyou na Bouken Part 1,9.30,157522,2,26,"257,957","43,113",24,96,Finished,"Jan  19, 2004 to Apr  19, 2011","['Action', 'Adventure', 'Mystery', 'Supernatural']",[],"['Seinen', 'Shounen']",Ultra Jump,"Araki, Hirohiko (Story & Art)",9781421578839
Vagabond,9.25,138009,3,15,"368,332","40,575",37,327,On Hiatus,"Sep  3, 1998 to May  21, 2015","['Action', 'Adventure', 'Award Winning']","['Historical', 'Samurai']",['Seinen'],Morning,"Inoue, Takehiko (Story & Art), Yoshikawa, Eiji (Story)",9781421520548
One Piece,9.22,368951,4,3,"603,122","115,123",Unknown,Unknown,Publishing,"Jul  22, 1997 to ?","['Action', 'Adventure', 'Fantasy']",[],['Shounen'],Shounen Jump (Weekly),"Oda, Eiichiro (Story & Art)",9781569319017
Monster,9.15,94806,5,29,"238,291","20,674",18,162,Finished,"Dec  5, 1994 to Dec  20, 2001","['Award Winning', 'Drama', 'Mystery']","['Adult Cast', 'Psychological']",['Seinen'],Big Comic Original,"Urasawa, Naoki (Story & Art)",9781421569066
Slam Dunk,9.09,74246,6,55,"165,346","15,641",31,276,Finished,"Sep  18, 1990 to Jun  4, 1996","['Award Winning', 'Sports']","['School', 'Team Sports']",['Shounen'],Shounen Jump (Weekly),"Inoue, Takehiko (Story & Art)",9781421506795
Vinland Saga,9.06,125829,7,19,"294,903","32,507",Unknown,Unknown,Publishing,"Apr  13, 2005 to ?","['Action', 'Adventure', 'Award Winning', 'Drama']",[],['Seinen'],Afternoon,"Yukimura, Makoto (Story & Art)",9781612624204
Fullmetal Alchemist,9.03,155629,8,20,"289,528","30,000",27,116,Finished,"Jul  12, 2001 to Sep  11, 2010","['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy']",[],['Shounen'],Shounen Gangan,"Arakawa, Hiromu (Story & Art)",9781591169208
Grand Blue,9.03,65270,9,47,"172,608","17,173",Unknown,Unknown,Publishing,"Apr  7, 2014 to ?",[],[],['Seinen'],good! Afternoon,"Inoue, Kenji (Story), Yoshioka, Kimitake (Art)",9781632365539
Oyasumi Punpun (Goodnight Punpun),9.01,176269,10,9,"430,160","51,039",13,147,Finished,"Mar  15, 2007 to Nov  2, 2013","['Drama', 'Slice of Life']",[],['Seinen'],Big Comic Spirits,"Asano, Inio (Story & Art)",9781421533197
Kingdom,9.00,60321,11,52,"167,054","14,798",Unknown,Unknown,Publishing,"Jan  26, 2006 to ?","['Action', 'Award Winning']","['Historical', 'Military']",['Seinen'],Young Jump,"Hara, Yasuhisa (Story & Art)",9781974719057
Houseki no Kuni (Land of the Lustrous),8.96,39061,12,94,"124,973","13,821",Unknown,Unknown,Publishing,"Oct  25, 2012 to ?","['Action', 'Drama', 'Fantasy']",[],['Seinen'],Afternoon,"Ichikawa, Haruko (Story & Art)",9781632364976
20th Century Boys,8.95,86516,13,28,"249,084","19,450",22,249,Finished,"Sep  27, 1999 to Apr  24, 2006","['Award Winning', 'Drama', 'Mystery', 'Sci-Fi']","['Historical', 'Psychological']",['Seinen'],Big Comic Spirits,"Urasawa, Naoki (Story & Art)",9781421569073
Real,8.94,19307,14,167,"84,882","3,705",Unknown,Unknown,Publishing,"Oct  28, 1999 to ?","['Drama', 'Sports']","['Psychological', 'Team Sports']",['Seinen'],Young Jump,"Inoue, Takehiko (Story & Art)",9781421532121
Ashita no Joe,8.94,16410,15,309,"51,006","4,168",20,171,Finished,"Jan  1, 1968 to May  13, 1973","['Drama', 'Slice of Life', 'Sports']",[],['Shounen'],Shounen Magazine (Weekly),"Kajiwara, Ikki (Story), Chiba, Tetsuya (Art)",9781935654054
Monogatari Series: First Season,8.92,15773,16,271,"57,812","3,061",6,107,Finished,"Nov  1, 2006 to Jul  28, 2010","['Action', 'Comedy', 'Mystery', 'Romance', 'Supernatural']",[],[],Mephisto,"NISIO, ISIN (Story), VOFAN (Art)",9781941220204
